TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
26.6796,-12867.64,-10856.92,1930.33,11297.85,-12549.16,-5366.47,-23516.23,-31725.7
26.7196,-12870.07,-10845.14,1946.4,11294.51,-12562.37,-5362.23,-23505.64,-31722.26
26.7596,-12876.56,-10842.37,1951.03,11260.8,-12583.54,-5366.66,-23496.82,-31715.54
26.7996,-12880.61,-10837.41,1958.18,11255.03,-12584.16,-5363.42,-23492.96,-31707.72
26.8396,-12887.72,-10843.71,1954.13,11281.01,-12569.0,-5361.65,-23501.35,-31712.2
26.8796,-12864.45,-10843.33,1950.07,11290.36,-12555.31,-5362.8,-23501.21,-31711.77
26.9196,-12877.99,-10841.42,1949.74,11281.01,-12570.57,-5381.78,-23497.3,-31707.48
26.9596,-12894.11,-10845.38,1953.41,11272.62,-12597.42,-5398.56,-23496.3,-31706.38
26.9996,-12900.59,-10852.43,1949.02,11299.28,-12587.07,-5389.5,-23490.91,-31702.43
27.0396,-12890.34,-10853.91,1938.25,11352.25,-12550.88,-5371.62,-23484.9,-31698.09
27.0796,-12913.13,-10863.5,1920.27,11347.72,-12544.3,-5370.19,-23500.02,-31709.29
27.1196,-12910.7,-10871.75,1911.69,11302.85,-12586.45,-5401.66,-23515.04,-31720.98
27.1596,-12878.51,-10851.24,1938.01,11244.82,-12608.72,-5404.62,-23497.39,-31702.86
27.1996,-12882.9,-10851.0,1943.06,11240.05,-12600.85,-5397.37,-23500.54,-31706.77
27.2396,-12886.38,-10847.86,1947.36,11283.59,-12566.81,-5379.49,-23496.73,-31702.24
27.2796,-12896.63,-10850.76,1945.5,11295.46,-12549.45,-5382.2,-23499.3,-31704.1
27.3196,-12892.68,-10846.66,1950.74,11289.41,-12559.51,-5390.45,-23495.96,-31699.71
27.3596,-12904.41,-10857.15,1940.2,11303.86,-12582.88,-5408.38,-23499.73,-31706.15
27.3996,-12925.67,-10866.45,1938.44,11323.45,-12571.72,-5395.46,-23495.96,-31701.28
27.4396,-12921.53,-10859.82,1946.45,11300.23,-12528.85,-5364.51,-23483.57,-31684.21
27.4796,-12909.99,-10849.62,1950.31,11297.27,-12488.32,-5340.39,-23475.94,-31678.11
27.5196,-12916.66,-10846.66,1952.36,11299.56,-12482.6,-5342.48,-23481.13,-31679.73
27.5596,-12909.08,-10849.24,1957.51,11273.53,-12465.05,-5355.31,-23489.19,-31681.45
27.5996,-12889.43,-10844.28,1967.1,11256.84,-12390.57,-5345.68,-23492.63,-31680.3
27.6396,-12896.59,-10856.44,1962.76,11279.78,-12301.07,-5330.13,-23500.92,-31687.17
27.6796,-12907.17,-10873.03,1947.55,11298.75,-12231.3,-5318.59,-23507.41,-31691.41
